Sample	mapped_passed	duplicates_failed	secondary_passed	paired in sequencing_failed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	supplementary_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	supplementary_failed	with itself and mate mapped_failed	mapped_failed	total_passed	properly paired_failed	flagstat_total	with mate mapped to a different chr (mapQ >= 5)_passed	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	secondary_failed	singletons_failed_pct
wt_3LW-Rep1_dm6_trim_q5	3288337	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	3288337	0	3288337	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep1_dm6_trim_q5_sorted_dupsRemoved	3102225	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	3102225	0	3102225	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep2_dm6_trim	2108376	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	19.51	0	0	0	10806584	0	10806584	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep2_dm6_trim_q5	1826897	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	1826897	0	1826897	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep2_dm6_trim_q5_sorted_dupsRemoved	1756857	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	1756857	0	1756857	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep3_dm6_trim	7403418	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	68.35	0	0	0	10832145	0	10832145	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep3_dm6_trim_q5	6128307	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	6128307	0	6128307	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep3_dm6_trim_q5_sorted_dupsRemoved	5530457	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	5530457	0	5530457	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep1_dm6_trim	1716622	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	63.4	0	0	0	2707749	0	2707749	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep1_dm6_trim_q5	1574226	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	1574226	0	1574226	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep1_dm6_trim_q5_sorted_dupsRemoved	1500091	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	1500091	0	1500091	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep2_dm6_trim	2807244	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	93.73	0	0	0	2994911	0	2994911	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep2_dm6_trim_q5	2575318	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	2575318	0	2575318	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep2_dm6_trim_q5_sorted_dupsRemoved	2424838	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	2424838	0	2424838	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep3_dm6_trim	2633133	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	92.39	0	0	0	2849991	0	2849991	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep3_dm6_trim_q5	2403161	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	2403161	0	2403161	0	nan	0	0	0	0	0	0	0	0	nan
wt_44h-Rep3_dm6_trim_q5_sorted_dupsRemoved	2269829	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	2269829	0	2269829	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep1_dm6_trim	1760606	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	15.85	0	0	0	11105912	0	11105912	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep1_dm6_trim_q5	1620914	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	1620914	0	1620914	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep1_dm6_trim_q5_sorted_dupsRemoved	1477209	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	1477209	0	1477209	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep2_dm6_trim	783735	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	6.84	0	0	0	11464756	0	11464756	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep2_dm6_trim_q5	717300	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	717300	0	717300	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep2_dm6_trim_q5_sorted_dupsRemoved	682811	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	682811	0	682811	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep3_dm6_trim	7529635	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	92.82	0	0	0	8112346	0	8112346	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep3_dm6_trim_q5	6752204	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	6752204	0	6752204	0	nan	0	0	0	0	0	0	0	0	nan
wt_6h-Rep3_dm6_trim_q5_sorted_dupsRemoved	5094970	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	5094970	0	5094970	0	nan	0	0	0	0	0	0	0	0	nan
